UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 20:54 ?        00:00:01 /sbin/init
root           2       1  0 20:54 ?        00:00:00 /init
root           6       2  0 20:54 ?        00:00:00 plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate
root          58       1  0 20:54 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         104       1  0 20:54 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     114       1  0 20:54 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     115       1  0 20:54 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         193       1  0 20:54 ?        00:00:00 /usr/sbin/cron -f -P
message+     194       1  0 20:54 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         201       1  0 20:54 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         204       1  0 20:54 ?        00:00:00 /usr/libexec/wsl-pro-service -vv
root         220       1  0 20:54 hvc0     00:00:00 /sbin/agetty -o -p -- \u --noclear --keep-baud - 115200,38400,9600 vt220
syslog       224       1  0 20:54 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         226       1  0 20:54 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         235       1  0 20:54 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         328       2  0 20:54 ?        00:00:00 /init
root         329     328  0 20:54 ?        00:00:00 /init
user         330     329  0 20:54 pts/0    00:00:00 -bash
root         331       2  0 20:54 pts/1    00:00:00 /bin/login -f
user         382       1  0 20:54 ?        00:00:00 /usr/lib/systemd/systemd --user
user         383     382  0 20:54 ?        00:00:00 (sd-pam)
user         392     331  0 20:54 pts/1    00:00:00 -bash
user         558     330  0 21:26 pts/0    00:00:00 ps -ef
